Název provozovatele,B/H - IČ provozovatele (u fyzické osoby pokud bylo přiděleno),C/CH - sídlo/adresa; místo trvalého pobytu fyz. osoby - ulice,C/CH - sídlo/adresa; místo trvalého pobytu fyz. osoby - PSČ,C/CH - sídlo/adresa; místo trvalého pobytu fyz. osoby - obec,C/CH - sídlo/adresa; místo trvalého pobytu fyz. osoby - okres,C/CH - sídlo/adresa; místo trvalého pobytu fyz. osoby - kraj,"C/CH - datová schránka, má-li ji subjekt zřízenou",D - předmět činnosti,E - právní forma,G - datum narození provozovatele - fyzické osoby,I - NÁZEV KNIHOVNY,R - EVIDENČNÍ ČÍSLO KNIHOVNY,J - druh knihovny,Kategorie - pomocný sloupec,K - adresa knihovny: ulice,K - adresa knihovny: PSČ,K - adresa knihovny: město,K - adresa knihovny: okres,K - adresa knihovny: kraj,M - emailový kontakt na autora záznamu,N - e-mailový kontakt na knihovnu,"O - odkaz na webovou stránku knihovny, respektive odkaz na informace o knihovně na webových stránkách provozovatele",P - provozní doba knihovny,Q - další informace,X - sigla,S - datum vytvoření záznamu,T - datum evidence knihovny,XXT - schvalovatel záznamu,U - datum aktualizace záznamu,XXU - schvalovatel aktualizace záznamu,aktivní / zrušená (vyřazená z evidence),V - datum vyřazení,XXV - vyřadil z evidence,W - důvod vyřazení z evidence,Y - číslo jednací,Poznámka
Obec Neplachov,581801,Neplachov 47,373 65,Dolní Bukovsko,České Budějovice,Jihočeský,,obecní úřad,,,Místní knihovna v Neplachově,3449,základní,public,Neplachov 65,373 65,Dolní Bukovsko,České Budějovice,Jihočeský,, ,, ,, ,2003-10-20,2003-01-06 00:00:00,Čermáková,,,A,, ,,k 20869/2002,
Obec Velká Jesenice,273163,Velká Jesenice 200,552 24,Velká Jesenice,Náchod,Královéhradecký,,obecní úřad,,,Obecní knihovna Velká Jesenice,3450,základní,public,Velká Jesenice 200,552 24,Velká Jesenice,Náchod,Královéhradecký,, ,, ,, ,2003-10-20,2003-01-06 00:00:00,Čermáková,,,A,, ,,k 20866/2002,
Obec Velká Jesenice,273163,Velká Jesenice 200,552 24,Velká Jesenice,Náchod,Královéhradecký,,obecní úřad,,,Místní knihovna Veselice,3451,základní,public,Veselice 8,552 24,Velká Jesenice,Náchod,Královéhradecký,, ,, ,, ,2003-10-20,2003-01-06 00:00:00,Čermáková,,,V,2022-07-14 00:00:00,St. Firstová,,"k 20866/2002;
MK 65288/2021 OULK","Vyřazena z evidence, knihovna zrušena"
Obec Služátky,179779,Služátky 8,582 91,Služátky nad Sázavou,Havlíčkův Brod,Vysočina,,obecní úřad,,,Obecní knihovna Služátky,3452,základní,public,Služátky 8,582 91,Služátky nad Sázavou,Havlíčkův Brod,Vysočina,, ,, ,, ,2003-10-20,2003-01-06 00:00:00,Čermáková,,,A,, ,,k 20890/2002,
Obec Kupařovice,405493,Kupařovice 44,664 64,Dolní Kounice,Brno-venkov,Jihomoravský,,obecní úřad,,,Obecní knihovna Kupařovice,3453,základní,public,Kupařovice 44,664 64,Dolní Kounice,Brno-venkov,Jihomoravský,, ,, ,, ,2003-10-20,2003-01-06 00:00:00,Čermáková,,,A,, ,,k 20884/2002,
Obec Josefův Důl,48679861,Josefův Důl 6,293 07,Josefův Důl,Mladá Boleslav,Středočeský,,obecní úřad,,,Obecní knihovna Josefův Důl,3454,základní,public,Josefův Důl 6,293 07,Josefův Důl,Mladá Boleslav,Středočeský,, ,, ,, ,2003-10-20,2003-01-06 00:00:00,Čermáková,,,A,, ,,k 20883/2002,
Obec Buková,256471,Buková 67,334 52,Merklín,Plzeň-jih,Plzeňský,,obecní úřad,,,Místní knihovna v Bukové,3455,základní,public,Buková 67,334 52,Merklín,Plzeň-jih,Plzeňský,, ,, ,, ,2003-10-20,2003-01-06 00:00:00,Čermáková,,,A,, ,,k 20894/2002,
Obec Skašov,574261,Skašov 55,336 01,Blovice,Plzeň-jih,Plzeňský,,obecní úřad,,,Místní knihovna ve Skašově,3456,základní,public,Skašov 55,336 01,Blovice,Plzeň-jih,Plzeňský,, ,, ,, ,2003-10-20,2003-01-06 00:00:00,Čermáková,,,A,, ,,k 20902/2002,
Obec Plavsko,512699,Plavsko 77,378 02,Stráž nad Nežárkou,Jindřichův Hradec,Jihočeský,,obecní úřad,,,Obecní knihovna v Plavsku,3457,základní,public,Plavsko 77,378 02,Stráž nad Nežárkou,Jindřichův Hradec,Jihočeský,, ,, ,, ,2003-10-20,2003-01-06 00:00:00,Čermáková,,,A,, ,,k 20916/2002,
Obec Kochánov,579882,Kochánov,582 53,Štoky,Havlíčkův Brod,Vysočina,,obecní úřad,,,Obecní knihovna Kochánov,3458,základní,public,Kochánov,582 53,Štoky,Havlíčkův Brod,Vysočina,, ,, ,, ,2003-10-20,2003-01-06 00:00:00,Čermáková,,,V,2012-01-31 00:00:00,M. Fojtík,,k 20922/2002,"Vyřazena z evidence, knihovna zrušena"
Obec Lipník,289795,Lipník,675 52,Lipník u Hrotovic,Třebíč,Vysočina,,obecní úřad,,,Místní knihovna v Lipníku u Hrotovic,3459,základní,public,Lipník 106,675 52,Lipník u Hrotovic,Třebíč,Vysočina,, ,www.obeclipnik.cz,17.00-18.00 ,, ,2003-10-20,2003-01-06 00:00:00,Čermáková,,,A,, ,,k 20920/2002,
Obec Měcholupy,574228,Měcholupy 76,335 01,Měcholupy,Plzeň-jih,Plzeňský,,obecní úřad,,,Místní knihovna Měcholupy,3460,základní,public,Měcholupy 76,335 01,Měcholupy,Plzeň-jih,Plzeňský,, ,, ,, ,2003-10-20,2003-01-06 00:00:00,Čermáková,,,V,2007-01-01 00:00:00,St. Firstová,,k 20919/2002,"Vyřazena z evidence, knihovna zrušena"
Obec Zádolí,279781,Zádolí 17,566 01,Zádolí,Ústí nad Orlicí,Pardubický,,obecní úřad,,,Obecní knihovna v Zádolí,3461,základní,public,Zádolí 17,566 01,Zádolí,Ústí nad Orlicí,Pardubický,, ,, ,, ,2003-10-20,2003-01-06 00:00:00,Čermáková,,,A,, ,,k 20758/2002,
Obec Žatčany,282944,Žatčany 125,664 53,Újezd u Brna,Brno-venkov,Jihomoravský,,obecní úřad,,,Obecní knihovna Žatčany,3462,základní,public,Žatčany 298,664 53,Újezd u Brna,Brno-venkov,Jihomoravský,, ,, ,, ,2003-10-20,2003-01-06 00:00:00,Čermáková,,,A,, ,,k 20780/2002,
Obec Kocbeře,278009,Kocbeře 53,544 64,Kocbeře,Trutnov,Královéhradecký,,obecní úřad,,,Obecní knihovna Kocbeře,3463,základní,public,Kocbeře 53,544 64,Kocbeře,Trutnov,Královéhradecký,, ,, ,, ,2003-10-20,2003-01-06 00:00:00,Čermáková,,,A,, ,,k 20779/2002,
Obec Přepeře,276014,Přepeře 229,512 61,Přepeře,Semily,Liberecký,,obecní úřad,,,Obecní knihovna Přepeře,3464,základní,public,Přepeře 229,512 61,Přepeře,Semily,Liberecký,, ,, ,, ,2003-10-20,2003-01-06 00:00:00,Čermáková,,,A,, ,,k 20767/2002,
Obec Radvanice,636533,Radvanice,751 21,Radvanice,Přerov,Olomoucký,,obecní úřad,,,Obecní knihovna v Radvanicích,3465,základní,public,Radvanice,751 21,Radvanice,Přerov,Olomoucký,, ,, ,, ,2003-10-20,2003-01-06 00:00:00,Čermáková,,,A,, ,,k 20742/2002,
Obec Lišany,244007,Pražská 68,270 52,Lišany,Rakovník,Středočeský,,obecní úřad,,,Obecní knihovna v Lišanech,3466,základní,public,Pražská 68,270 52,Lišany,Rakovník,Středočeský,, ,, ,, ,2003-10-20,2003-01-06 00:00:00,Čermáková,,,A,, ,,k 20740/2002,
Obec Bujesily,479713,Bujesily 1,331 41,Bujesily,Rokycany,Plzeňský,,obecní úřad,,,Místní knihovna Bujesily,3467,základní,public,Bujesily 1,331 41,Bujesily,Rokycany,Plzeňský,, ,, ,, ,2003-10-20,2003-01-06 00:00:00,Čermáková,,,A,, ,,k 20649/2002,
Obec Přehýšov,258288,Přehýšov 101,330 23,Nýřany,Plzeň-sever,Plzeňský,,obecní úřad,,,Obecní knihovna Přehýšov,3468,základní,public,Přehýšov 101,330 23,Nýřany,Plzeň-sever,Plzeňský,, ,, ,, ,2003-10-20,2003-01-06 00:00:00,Čermáková,,,A,, ,,k 20672/2002,
Obec Janov,274925,Janov,518 01,Dobruška,Rychnov nad Kněžnou,Královéhradecký,,obecní úřad,,,Místní knihovna Janov,3469,základní,public,Janov 30,518 01,Dobruška,Rychnov nad Kněžnou,Královéhradecký,, ,, ,, ,2003-10-20,2003-01-06 00:00:00,Čermáková,,,A,, ,,k 20671/2002,
Obec Choťánky,239178,Choťánky 24,290 01,Poděbrady,Nymburk,Středočeský,,obecní úřad,,,Obecní knihovna v Choťánkách,3470,základní,public,Choťánky 24,290 01,Poděbrady,Nymburk,Středočeský,,obec.chotanky@tiscali.cz,, ,, ,2003-10-20,2003-01-06 00:00:00,Čermáková,,,A,,,,k 20665/2002,
Obec Otročiněves,233714,Otročiněves 34,267 03,Hudlice,Beroun,Středočeský,,obecní úřad,,,Obecní knihovna v Otročiněvsi,3471,základní,public,Otročiněves 34,267 03,Hudlice,Beroun,Středočeský,, ,, ,, ,2003-11-06,2003-01-06 00:00:00,Čermáková,,,V,2022-06-28 00:00:00,St. Firstová,,k 20662/2002,"Vyřazena z evidence, knihovna zrušena"
Obec Heřmaň,581305,Heřmaň 43,370 07,České Budějovice,České Budějovice,Jihočeský,,obecní úřad,,,Místní knihovna v Heřmani,3472,základní,public,Heřmaň 43,370 07,České Budějovice,České Budějovice,Jihočeský,, ,, ,, ,2003-11-06,2003-01-06 00:00:00,Čermáková,,,A,, ,,k 20689/2002,
Obec Oponešice,378291,Oponešice 27,675 32,Třebelovice,Třebíč,Vysočina,,obecní úřad,,,Místní knihovna v Oponešicích,3473,základní,public,Oponešice 27,675 32,Třebelovice,Třebíč,Vysočina,, ,,14.00-15.00 ,, ,2003-11-06,2003-01-06 00:00:00,Čermáková,,,A,, ,,k 20686/2002,
Obec Chrtníč,267546,Chrtníč 52,582 82,Golčův Jeníkov,Havlíčkův Brod,Vysočina,,obecní úřad,,,Místní knihovna Chrtníč,3474,základní,public,Chrtníč 52,582 82,Golčův Jeníkov,Havlíčkův Brod,Vysočina,, ,, ,, ,2003-11-06,2003-01-06 00:00:00,Čermáková,,,A,, ,,k 20685/2002,
Obec Leskovice,248509,Leskovice 51,394 14,Leskovice,Pelhřimov,Vysočina,,obecní úřad,,,Místní knihovna v Leskovicích,3475,základní,public,Leskovice 51,394 14,Leskovice,Pelhřimov,Vysočina,, ,, ,, ,2003-11-06,2003-01-06 00:00:00,Čermáková,,,A,, ,,k 20720/2002,
Obec Moraveč,248673,Moraveč 110,393 01,Pelhřimov,Pelhřimov,Vysočina,,obecní úřad,,,Místní knihovna v Moravči,3476,základní,public,Moraveč 110,393 01,Pelhřimov,Pelhřimov,Vysočina,, ,, ,, ,2003-11-06,2003-01-06 00:00:00,Čermáková,,,A,, ,,k 20727/2002,
Obec Černovice,261831,Černovice 80,430 01,Černovice,Chomutov,Ústecký,,obecní úřad,,,Obecní knihovna v Černovicích,3477,základní,public,Černovice 96,430 01,Černovice,Chomutov,Ústecký,, ,, ,, ,2003-11-06,2003-01-06 00:00:00,Čermáková,,,A,, ,,k 20590/2002,
"Víceúčelové kulturní zařízení Milovice, příspěvková organizace",239453,5. května 71,289 23,Milovice,Nymburk,Středočeský,,městský úřad,,,Místní lidová knihovna Benátská Vrutice,3478,základní,,benátská Vrutice čp. 47,289 22,Lysá nad Labem,Nymburk,Středočeský,, ,, ,, ,2003-11-06,2003-01-06 00:00:00,Čermáková,,,V,2006-12-31 00:00:00,St. Firstová,,k 20583/2002,"Vyřazena z evidence, knihovna zrušena"
Obec Skořenice,279498,Skořenice 23,565 01,Choceň,Ústí nad Orlicí,Pardubický,,obecní úřad,,,Obecní knihovna Skořenice,3479,základní,public,Skořenice 23,565 01,Choceň,Ústí nad Orlicí,Pardubický,, ,, ,, ,2003-11-06,2003-01-06 00:00:00,Čermáková,,,A,, ,,k 20578/2002,
Obec Libějovice,667641,Libějovice 26,387 72,Libějovice,Strakonice,Jihočeský,,obecní úřad,,,Obecní knihovna Libějovice,3480,základní,public,Libějovice 26,387 72,Libějovice,Strakonice,Jihočeský,, ,, ,, ,2003-11-06,2003-01-06 00:00:00,Čermáková,2016-05-31 00:00:00,M. Fojtík,A,, ,,k 20599/2002,
Obec Smolné Pece,573281,Smolné Pece,362 25,Nové Role,Karlovy Vary,Karlovarský,,obecní úřad,,,Základní knihovna ve Smolných Pecích,3481,základní,public,Smolné Pece 143,362 25,Nové Role,Karlovy Vary,Karlovarský,, ,http://smolnepece.unas.cz, ,, ,2003-11-06,2003-01-06 00:00:00,Čermáková,,,A,, ,,k 20643/2002,
Obec Řípec,667137,Řípec 39,391 81,Veselí nad Lužnicí,Tábor,Jihočeský,,obecní úřad,,,Obecní knihovna Řípec,3482,základní,public,Řípec 39,391 81,Veselí nad Lužnicí,Tábor,Jihočeský,, ,, ,, ,2003-11-06,2003-01-06 00:00:00,Čermáková,,,A,, ,,k 20624/2002,
Obec Kosořice,238104,Kosořice,294 41,Dobrovice,Mladá Boleslav,Středočeský,,obecní úřad,,,Místní knihovna Kosořice,3483,základní,public,Kosořice,294 41,Dobrovice,Mladá Boleslav,Středočeský,, ,, ,, ,2003-11-06,2003-01-06 00:00:00,Čermáková,,,A,, ,,k 20623/2002,
Obec Olešnice,269263,Olešnice 44,503 51,Chlumec nad Cidlinou,Hradec Králové,Královéhradecký,,obecní úřad,,,Obecní knihovna Olešnice,3484,základní,public,Olešnice 44,503 51,Chlumec nad Cidlinou,Hradec Králové,Královéhradecký,, ,, ,, ,2003-11-06,2003-01-06 00:00:00,Čermáková,,,A,, ,,k 20618/2002,
Obec Olešnice,269263,Olešnice 44,503 51,Chlumec nad Cidlinou,Hradec Králové,Královéhradecký,,obecní úřad,,,Obecní knihovna Olešnice část Levín,3485,základní,public,Olešnice 44,503 51,Chlumec nad Cidlinou,Hradec Králové,Královéhradecký,, ,, ,, ,2003-11-06,2003-01-06 00:00:00,Čermáková,,,V,2011-11-30 00:00:00,M. Fojtík,,k 20618/2002,"Vyřazena z evidence, knihovna zrušena"
Obec Chorušice,236861,Chorušice,277 37,Chorušice,Mělník,Středočeský,,obecní úřad,,,Místní knihovna v Chorušicích,3486,základní,public,Chorušice 99,277 37,Chorušice,Mělník,Středočeský,, ,, ,, ,2003-11-06,2003-01-06 00:00:00,Čermáková,,,A,, ,,k 20636/2002,
Obec Chorušice,236861,Chorušice,277 37,Chorušice,Mělník,Středočeský,,obecní úřad,,,Místní knihovna ve Velkém Újezdě,3487,základní,public,Velký Újezd 51,277 37,Chorušice,Mělník,Středočeský,, ,, ,, ,2003-11-06,2003-01-06 00:00:00,Čermáková,,,A,, ,,k 20636/2002,
Obec Nesvačilka,637505,Nesvačilka 100,664 54,Těšany,Brno-venkov,Jihomoravský,,obecní úřad,,,Obecní knihovna v Nesvačilce,3488,základní,public,Nesvačilka 60,664 54,Těšany,Brno-venkov,Jihomoravský,, ,, ,, ,2003-11-06,2003-01-06 00:00:00,Čermáková,,,A,, ,,k 20248/2002,
Obec Hrdibořice,288276,Hrdibořice,798 12,Hrdibořice,Prostějov,Olomoucký,,obecní úřad,,,Obecní knihovna Hrdibořice,3489,základní,public,Hrdibořice 6,798 12,Hrdibořice,Prostějov,Olomoucký,, ,http://knihovnahrdiborice.webk.cz/,15.30-17.30 ,, ,2003-11-06,2003-01-06 00:00:00,Čermáková,,,A,, ,,k 20250/2002,
Národní technické muzeum,232299,Kostelní 42,170 78,Praha 7,Praha,Hlavní město Praha,,"uchování, zpracování a zpřístupňování sbírek muzejní povahy",,,Knihovna Národního technického muzea,3490,specializovaná,muzejní,Kostelní 42,170 78,Praha 7,Praha,Hlavní město Praha,, ,, ,,ABA010,2003-11-06,2003-01-06 00:00:00,Čermáková,,,A,, ,,k 22192/2002,
Obec Újezdeček,266639,Náměstí Boženy Němcové 2,415 01,Újezdeček,Teplice,Ústecký,,obecní úřad,,,Místní lidová knihovna Újezdeček,3491,základní,public,Náměstí Boženy Němcové 2,415 01,Újezdeček,Teplice,Ústecký,, ,, ,, ,2003-11-06,2003-01-06 00:00:00,Čermáková,,,A,, ,,k 175/2003,
Obec Ledvice,266434,Mírová 42,417 72,Ledvice,Teplice,Ústecký,,obecní úřad,,,Obecní knihovna Ledvice,3492,základní,public,Mírová 42,417 72,Ledvice,Teplice,Ústecký,, ,, ,, ,2003-11-06,2003-01-06 00:00:00,Čermáková,,,A,, ,,k 176/2003,
"Krajské muzeum Karlovy Vary, p.o.",74276,Zámecký vrch 22,360 01,Karlovy Vary,Karlovy Vary,Karlovarský,,"uchování, zpracování a zpřístupňování sbírek muzejní povahy",,,Knihovna Krajského muzea Karlovarského kraje. Muzeum Karlovy Vary,3493,základní se specializovaným knihovním fondem,muzejní,Zámecký vrch 22,360 01,Karlovy Vary,Karlovy Vary,Karlovarský,, ,, ,,KVE303,2003-11-06,2003-01-07 00:00:00,Čermáková,2007-07-17 00:00:00,St. Firstová,A,,,,k 174/2003,
Obec Proboštov,266566,nám. Svobody 700,417 12,Proboštov,Teplice,Ústecký,,obecní úřad,,,Místní knihovna Přítkov,3494,základní,public,Přítkov 34,417 12,Proboštov,Teplice,Ústecký,, ,, ,, ,2003-10-20,2003-01-06 00:00:00,Čermáková,,,V,2008-06-30 00:00:00,St. Firstová,,k 20819/2002,"Vyřazena z evidence, knihovna zrušena"
Obec Vraclav,279749,Vraclav 66,565 42,Vraclav,Ústí nad Orlicí,Pardubický,,obecní úřad,,,Obecní knihovna ve Vraclavi,3495,základní,public,Vraclav 69,565 42,Vraclav,Ústí nad Orlicí,Pardubický,, ,, ,, ,2003-11-06,2003-01-07 00:00:00,Čermáková,,,A,, ,,k 21664/2002,
Obec Vraclav,279749,Vraclav 66,565 42,Vraclav,Ústí nad Orlicí,Pardubický,,obecní úřad,,,Obecní knihovna na Sedleci,3496,základní,public,Vraclav-Sedlec 72,565 42,Vraclav,Ústí nad Orlicí,Pardubický,, ,, ,, ,2003-11-06,2003-01-07 00:00:00,Čermáková,,,A,, ,,k 21664/2002,
Městská knihovna Benešov,66134111,Malé náměstí 1700,256 01,Benešov,Benešov,Středočeský,,poskytování veřejných knihovnických a informačních služeb,,,Městská knihovna Benešov,3497,základní,public,Malé náměstí 1700,256 01,Benešov,Benešov,Středočeský,, ,, ,,BNG001,2003-11-06,2003-01-07 00:00:00,Čermáková,,,A,, ,,k 21136/2002,
Univerzita Karlova,216208,Ovocný trh 3/5,116 36,Praha 1,Praha,Hlavní město Praha,,vzdělávací a vědecko-výzkumná činnost,,,Knihovna Univerzity Karlovy,3498,základní se specializovaným knihovním fondem,VŠ,Ovocný trh 3/5,116 36,Praha 1,Praha,Hlavní město Praha,, ,, ,,ABC013,2003-11-06,2003-01-07 00:00:00,Čermáková,"20.02.2003, 13.7.2022","Čermáková, St. Firstová",A,,,,k 22162/2002,
Městská knihovna Litomyšl,70996822,Smetanovo nám. 50,570 01,Litomyšl,Svitavy,Pardubický,,poskytování veřejných knihovnických a informačních služeb,,,Městská knihovna Litomyšl,3499,základní,public,Smetanovo nám. 50,570 01,Litomyšl,Svitavy,Pardubický,, ,www.litomysl.cz/knihovna, ,,SVG502,2004-05-04,2003-01-07 00:00:00,Čermáková,,,A,, ,,k 21205/2002,
České vysoké učení technické v Praze,68407700,Zikova 4,166 36,Praha 6-Dejvice,Praha,Hlavní město Praha,,vzdělávací a vědecko-výzkumná činnost,,,Ústřední knihovna Fakulty stavební a Fakulty architektury ČVUT,3500,základní se specializovaným knihovním fondem,,Thákurova 7,166 29,Praha 6-Dejvice,Praha,Hlavní město Praha,, ,, ,,ABD017,2003-11-06,2003-01-07 00:00:00,Čermáková,,,V,2009-12-31 00:00:00,St. Firstová,,k 21867/2002,"Vyřazena z evidence, knihovna zrušena"
České vysoké učení technické v Praze,68407700,Zikova 4,166 36,Praha 6-Dejvice,Praha,Hlavní město Praha,,vzdělávací a vědecko-výzkumná činnost,,,Ústřední knihovna Fakulty strojní ČVUT,3501,základní se specializovaným knihovním fondem,,Karlovo nám. 13,121 35,Praha 2,Praha,Hlavní město Praha,, ,, ,,ABD016,2003-11-06,2003-01-07 00:00:00,Čermáková,,,V,2009-12-31 00:00:00,St. Firstová,,k 21867/2002,"Vyřazena z evidence, knihovna zrušena"
České vysoké učení technické v Praze,68407700,Zikova 4,166 36,Praha 6-Dejvice,Praha,Hlavní město Praha,,vzdělávací a vědecko-výzkumná činnost,,,Ústřední knihovna Fakulty elektrotechnické ČVUT,3502,základní se specializovaným knihovním fondem,,Technická 2,166 27,Praha 6-Dejvice,Praha,Hlavní město Praha,, ,, ,,ABD015,2003-11-06,2003-01-07 00:00:00,Čermáková,,,V,2009-12-31 00:00:00,St. Firstová,,k 21867/2002,"Vyřazena z evidence, knihovna zrušena"
České vysoké učení technické v Praze,68407700,Zikova 4,166 36,Praha 6-Dejvice,Praha,Hlavní město Praha,,vzdělávací a vědecko-výzkumná činnost,,,Ústřední knihovna Fakulty jaderné a fyzikálně-inženýrské ČVUT,3503,základní se specializovaným knihovním fondem,,Břehová 7,115 19,Praha 1,Praha,Hlavní město Praha,, ,, ,,ABD018,2003-11-06,2003-01-07 00:00:00,Čermáková,,,V,2009-12-31 00:00:00,St. Firstová,,k 21867/2002,"Vyřazena z evidence, knihovna zrušena"
České vysoké učení technické v Praze,68407700,Zikova 4,166 36,Praha 6-Dejvice,Praha,Hlavní město Praha,,vzdělávací a vědecko-výzkumná činnost,,,Ústřední knihovna Fakulty dopravní ČVUT,3504,základní se specializovaným knihovním fondem,,Horská 2,128 03,Praha 2,Praha,Hlavní město Praha,, ,, ,,ABD066,2003-11-06,2003-01-07 00:00:00,Čermáková,,,V,2009-12-31 00:00:00,St. Firstová,,k 21867/2002,"Vyřazena z evidence, knihovna zrušena"
České vysoké učení technické v Praze,68407700,Zikova 4,166 36,Praha 6-Dejvice,Praha,Hlavní město Praha,,vzdělávací a vědecko-výzkumná činnost,,,Knihovna Kloknerova ústavu ČVUT,3505,základní se specializovaným knihovním fondem,,Šolínova 7,166 08,Praha 6-Dejvice,Praha,Hlavní město Praha,, ,, ,,ABD101,2003-11-06,2003-01-07 00:00:00,Čermáková,,,V,2009-12-31 00:00:00,St. Firstová,,k 21867/2002,"Vyřazena z evidence, knihovna zrušena"
České vysoké učení technické v Praze,68407700,Zikova 4,166 36,Praha 6-Dejvice,Praha,Hlavní město Praha,,vzdělávací a vědecko-výzkumná činnost,,,Knihovna Masarykova ústavu vyšších studií ČVUT,3506,základní se specializovaným knihovním fondem,,Horská 3,128 00,Praha 2,Praha,Hlavní město Praha,, ,, ,,ABD159,2003-11-06,2003-01-07 00:00:00,Čermáková,,,V,2009-12-31 00:00:00,St. Firstová,,k 21867/2002,"Vyřazena z evidence, knihovna zrušena"
České vysoké učení technické v Praze,68407700,Zikova 4,166 36,Praha 6-Dejvice,Praha,Hlavní město Praha,,vzdělávací a vědecko-výzkumná činnost,,,Knihovna Výpočetního a informačního centra ČVUT,3507,základní se specializovaným knihovním fondem,,Zikova 4,166 36,Praha 6-Dejvice,Praha,Hlavní město Praha,, ,, ,,ABD100,2003-11-06,2003-01-07 00:00:00,Čermáková,,,V,2009-12-31 00:00:00,St. Firstová,,k 21867/2002,"Vyřazena z evidence, knihovna zrušena"
Uměleckoprůmyslové museum v Praze,23442,17. listopadu 2,110 00,Praha 1,Praha,Hlavní město Praha,,"uchování, zpracování a zpřístupňování sbírek muzejní povahy",,,Knihovna Uměleckoprůmyslového musea v Praze,3508,základní se specializovaným knihovním fondem,muzejní,17. listopadu 2,110 00,Praha 1,Praha,Hlavní město Praha,, ,, ,,ABE310,2003-11-06,2003-01-07 00:00:00,Čermáková,,,A,, ,,k 22004/2002,
Obec Hrubá Skála,275751,Doubravice 37,511 01,Hrubá Skála,Semily,Liberecký,,obecní úřad,,,Obecní knihovna Hrubá Skála,3509,základní,public,Doubravice 37,511 01,Hrubá Skála,Semily,Liberecký,, ,, ,, ,2003-11-06,2003-01-07 00:00:00,Čermáková,,,A,, ,,k 21970/2002,
Obec Hrubá Skála,275751,Doubravice 37,511 01,Hrubá Skála,Semily,Liberecký,,obecní úřad,,,Obecní knihovna Hnanice,3510,základní,public,Hnanice 34,511 01,Hrubá Skála,Semily,Liberecký,,,,,,,2003-11-06,2003-01-07 00:00:00,Čermáková,,,V,2025-01-06 00:00:00,P. Doležalová,,"k 21970/2002, MK 98653/2024 OUKKO","Vyřazena z evidence, knihovna zrušena"
Obec Mladějov,271845,Mladějov 45,507 45,Mladějov,Jičín,Královéhradecký,,obecní úřad,,,Místní knihovna Mladějov,3511,základní,public,Mladějov 45,507 45,Mladějov,Jičín,Královéhradecký,, ,, ,, ,2003-11-06,2003-01-07 00:00:00,Čermáková,,,A,, ,,k 22032/2002,
Město Nový Bor,260771,náměstí Míru 1,473 01,Nový Bor,Česká Lípa,Liberecký,,městský úřad,,,Městská knihovna Nový Bor,3512,základní,public,Bedřicha Egermanna 76,473 01,Nový Bor,Česká Lípa,Liberecký,, ,,"14.00-18.00 (odd. pro dospělé i pro děti) - 8.00-12.00, 14.00-18.00 (odd. pro dospělé) - 14.00-18.00 (odd. pro dospělé) - 13.30-17.30 (odd. pro dospělé), 13.30-17.00 (odd. pro děti) ",,CLG502,2003-11-06,2003-01-07 00:00:00,Čermáková,,,A,, ,,k 21968/2002,
Město Hostinné,277908,Náměstí 1. máje 69,543 71,Hostinné,Trutnov,Královéhradecký,,městský úřad,,,Městská knihovna Hostinné,3513,základní,public,Náměstí 1. máje 24,543 71,Hostinné,Trutnov,Královéhradecký,,mk.hostinne@worldonline.cz,, ,,TUG503,2003-11-06,2003-01-07 00:00:00,Čermáková,,,A,, ,,k 21064/2002,
Obec Dolní Město,267376,Dolní Město 93,582 33,Dolní Město,Havlíčkův Brod,Vysočina,,obecní úřad,,,Místní knihovna v Dolním Městě,3514,základní,public,Dolní Město 93,582 33,Dolní Město,Havlíčkův Brod,Vysočina,, ,, ,, ,2003-11-06,2003-01-07 00:00:00,Čermáková,2008-10-31 00:00:00,St. Firstová,A,,,,k 21068/2002,
Obec Dolní Město,267376,Dolní Město 93,582 33,Dolní Město,Havlíčkův Brod,Vysočina,,obecní úřad,,,Místní knihovna v Rejčkově,3515,základní,public,Rejčkov 52,582 33,Dolní Město,Havlíčkův Brod,Vysočina,,,,,,,2003-11-06,2003-01-07 00:00:00,Čermáková,,,V,2008-08-29 00:00:00,St. Firstová,,k 21068/2002,"Vyřazena z evidence, knihovna zrušena"
Obec Hněvčeves,268771,Hněvčeves,503 15,Nechanice,Hradec Králové,Královéhradecký,,obecní úřad,,,Obecní knihovna Hněvčeves,3516,základní,public,Hněvčeves 54,503 15,Nechanice,Hradec Králové,Královéhradecký,, ,,,, ,2003-11-06,2003-01-07 00:00:00,Čermáková,,,A,, ,,k 21076/2002,
Obec Smržov,269565,Smržov 12,503 03,Smiřice,Hradec Králové,Královéhradecký,,obecní úřad,,,Obecní knihovna Smržov,3517,základní,public,Smržov 12,503 03,Smiřice,Hradec Králové,Královéhradecký,, ,,,, ,2003-11-06,2003-01-07 00:00:00,Čermáková,,,A,, ,,k 21073/2002,
Obec Háje nad Jizerou,275689,Háje nad Jizerou - Loukov 61,513 01,Semily,Semily,Liberecký,,obecní úřad,,,Místní knihovna Loukov,3518,základní,public,Háje nad Jizerou - Loukov 57,513 01,Semily,Semily,Liberecký,, ,,,, ,2003-11-06,2003-01-07 00:00:00,Čermáková,,,A,, ,,k 21074/2002,
