Nazev provozovatele|B/H - IC provozovatele (u fyzicke osoby pokud bylo prideleno)|C/CH - sidlo/adresa; misto trvaleho pobytu fyz. osoby - ulice|C/CH - sidlo/adresa; misto trvaleho pobytu fyz. osoby - PSC|C/CH - sidlo/adresa; misto trvaleho pobytu fyz. osoby - obec|C/CH - sidlo/adresa; misto trvaleho pobytu fyz. osoby - okres|C/CH - sidlo/adresa; misto trvaleho pobytu fyz. osoby - kraj|C/CH - datova schranka, ma-li ji subjekt zrizenou|D - predmet cinnosti|E - pravni forma|G - datum narozeni provozovatele - fyzicke osoby|I - NAZEV KNIHOVNY|R - EVIDENCNI CISLO KNIHOVNY|J - druh knihovny|Kategorie - pomocny sloupec|K - adresa knihovny: ulice|K - adresa knihovny: PSC|K - adresa knihovny: mesto|K - adresa knihovny: okres|K - adresa knihovny: kraj|M - emailovy kontakt na autora zaznamu|N - e-mailovy kontakt na knihovnu|O - odkaz na webovou stranku knihovny, respektive odkaz na informace o knihovne na webovych strankach provozovatele|P - provozni doba knihovny|Q - dalsi informace|X - sigla|S - datum vytvoreni zaznamu|T - datum evidence knihovny|XXT - schvalovatel zaznamu|U - datum aktualizace zaznamu|XXU - schvalovatel aktualizace zaznamu|aktivni / zrusena (vyrazena z evidence)|V - datum vyrazeni|XXV - vyradil z evidence|W - duvod vyrazeni z evidence|Y - cislo jednaci|Poznamka
Obec Jamy|842133|Jamy 4|592 32|Jamy|Zdar nad Sazavou|Vysocina||obecni urad|||Mistni knihovna v Jamach|4232|zakladni|public|Jamy 4|592 32|Jamy|Zdar nad Sazavou|Vysocina||oujamy@iol.cz||16.00-17.00 || |2003-12-16|2003-01-23 00:00:00|Cermakova|||A|| ||k 22670/2002|
Obec Brezi|47256851|Brezi 3|262 42|Rozmital pod Tremsinem|Strakonice|Jihocesky||obecni urad|||Mistni lidova knihovna v Brezi|4233|zakladni|public|Brezi 3|262 42|Rozmital pod Tremsinem|Strakonice|Jihocesky|| || || |2003-12-16|2003-01-23 00:00:00|Cermakova|||A|| ||k 22876/2002|
Obec Hlavecnik|273554|Hlavecnik 28|533 15|Hlavecnik|Pardubice|Pardubicky||obecni urad|||Obecni knihovna Hlavecnik|4234|zakladni|public|Hlavecnik 28|533 15|Hlavecnik|Pardubice|Pardubicky|| || || |2003-12-16|2003-01-23 00:00:00|Cermakova|||A|| ||k 22870/2002|
Obec Klinec|640719|Klinec 76|252 10|Mnisek pod Brdy|Praha-zapad|Stredocesky||obecni urad|||Obecni knihovna Klinec|4235|zakladni|public|Klinec 76|252 10|Mnisek pod Brdy|Praha-zapad|Stredocesky|| || || |2003-12-16|2003-01-23 00:00:00|Cermakova|||A|| ||k 22863/2002|
Obec Zisov|667331|Zisov 73|391 81|Veseli nad Luznici|Tabor|Jihocesky||obecni urad|||Mistni lidova knihovna Zisov|4236|zakladni|public|Zisov 73|391 81|Veseli nad Luznici|Tabor|Jihocesky|| || || |2003-12-16|2003-01-23 00:00:00|Cermakova|||A|| ||k 22861/2002|
Obec Dlouha Loucka|276588|Dlouha Loucka 97|569 43|Dlouha Loucka|Svitavy|Pardubicky||obecni urad|||Obecni knihovna v Dlouhe Loucce|4237|zakladni|public|Dlouha Loucka 90|569 43|Dlouha Loucka|Svitavy|Pardubicky|| || || |2003-12-16|2003-01-23 00:00:00|Cermakova|||A|| ||k 22860/2002|
Obec Volevcice|266175|Volevcice 22|434 01|Most|Most|Ustecky||obecni urad|||Mistni knihovna ve Volevcicich|4238|zakladni|public|Volevcice 22|434 01|Most|Most|Ustecky|| || || |2003-12-16|2003-01-23 00:00:00|Cermakova|||A|| ||k 22739/2002|
Obec Cervene Janovice|236047|Cervene Janovice 102|285 42|Cervene Janovice|Kutna Hora|Stredocesky||obecni urad|||Mistni lidova knihovna v Cervenych Janovicich|4239|zakladni|public|Cervene Janovice 102|285 42|Cervene Janovice|Kutna Hora|Stredocesky|| || || |2003-12-16|2003-01-23 00:00:00|Cermakova|||A|| ||k 22737/2002|
Obec Probulov|582930|Probulov 32|398 07|Probulov|Pisek|Jihocesky||obecni urad|||Obecni knihovna Probulov|4240|zakladni|public|Probulov 32|398 07|Probulov|Pisek|Jihocesky|| || || |2003-12-16|2003-01-23 00:00:00|Cermakova|||A|| ||k 22734/2002|
Obec Horovicky|243728|Horovicky|270 04|Horesedly|Rakovnik|Stredocesky||obecni urad|||Obecni knihovna v Horovickach|4241|zakladni|public|Horovicky 111|270 04|Horesedly|Rakovnik|Stredocesky|||||||2003-12-16|2003-01-23 00:00:00|Cermakova|||V|2022-07-14 00:00:00|St. Firstova||k 22677/2002|Vyrazena z evidence, knihovna zrusena
Obec Litobratrice|600504|Litobratrice 187|671 78|Litobratrice|Znojmo|Jihomoravsky||obecni urad|||Mistni knihovna v Litobratricich|4242|zakladni|public|Litobratrice 187|671 78|Litobratrice|Znojmo|Jihomoravsky|| ||15.30-16.30 || |2003-12-16|2003-01-23 00:00:00|Cermakova|||A|| ||k 22746/2002|
Obec Slatiny|272094|Slatiny 19|506 01|Slatiny|Jicin|Kralovehradecky||obecni urad|||Mistni knihovna Slatiny|4243|zakladni|public|Slatiny 64|506 01|Slatiny|Jicin|Kralovehradecky|| || || |2003-12-16|2003-01-23 00:00:00|Cermakova|||A|| ||k 22676/2002|
Obec Slatiny|272094|Slatiny 19|506 01|Slatiny|Jicin|Kralovehradecky||obecni urad|||Mistni knihovna Miliceves|4244|zakladni|public|Miliceves 1|506 01|Slatiny|Jicin|Kralovehradecky|| || || |2003-12-16|2003-01-23 00:00:00|Cermakova|||A|| ||k 22676/2002|
Obec Hnojice|298921|Hnojice|783 11|Hnojice|Olomouc|Olomoucky||obecni urad|||Obecni knihovna Hnojice|4245|zakladni|public|Hnojice 160|783 11|Hnojice|Olomouc|Olomoucky|| || || |2003-12-16|2003-01-23 00:00:00|Cermakova|||A|| ||k 22697/2002|
Obec Bukovina u Ciste|275646|Bukovina u Ciste|514 01|Jilemnice|Semily|Liberecky||obecni urad|||Mistni lidova knihovna v Bukovine u Ciste|4246|zakladni|public|Bukovina u Ciste 57|514 01|Jilemnice|Semily|Liberecky|| || || |2003-12-16|2003-01-23 00:00:00|Cermakova|||A|| ||k 22586/2002|
Mesto Sedlice|251755|namesti T. G. Masaryka 28|387 32|Sedlice|Strakonice|Jihocesky||mestsky urad|||Mestska knihovna Sedlice|4247|zakladni|public|namesti T. G. Masaryka 28|387 32|Sedlice|Strakonice|Jihocesky|| || || |2003-12-16|2003-01-23 00:00:00|Cermakova|2019-12-02 00:00:00|S. Polakova|A|| ||"k 22583/2002;
MK 80890/2019 OULK"|
Mesto Husinec|250449|Prokopovo nam. 1|384 21|Husinec|Prachatice|Jihocesky||obecni urad|||Knihovna Husinec|4248|zakladni|public|Prokopovo namesti 2|384 21|Husinec|Prachatice|Jihocesky|| |http://www.husinec.cz/obecni-knihovna/| ||PTG506|2003-12-16|2003-01-23 00:00:00|Cermakova|2022-05-26 00:00:00|St. Firstova|A|| ||k 22582/2002|
Obec Lnare|251437|Lnare 74|387 42|Lnare|Strakonice|Jihocesky||obecni urad|||Mistni knihovna Lnare|4249|zakladni|public|Lnare 74|387 42|Lnare|Strakonice|Jihocesky|| || ||STG507|2003-12-16|2003-01-23 00:00:00|Cermakova|||A|| ||k 22581/2002|
Obec Hojovice|583430|Hojovice|394 94|Cernovice|Pelhrimov|Vysocina||obecni urad|||Obecni knihovna Hojovice|4250|zakladni|public|Hojovice|394 94|Cernovice|Pelhrimov|Vysocina|| ||17.00-18.00 || |2003-12-16|2003-01-23 00:00:00|Cermakova|||A|| ||k 22561/2002|
Obec Lidice|234648|Lidice|273 54|Lidice|Kladno|Stredocesky||obecni urad|||Verejna knihovna Lidice|4251|zakladni|public|Josefa Stribrneho 162|273 54|Lidice|Kladno|Stredocesky|| ||16.00-18.00 || |2003-12-16|2003-01-23 00:00:00|Cermakova|||A|| ||k 22744/2002|
Obec Bochovice|376094|Bochovice|675 05|Rudikov|Trebic|Vysocina||obecni urad|||Mistni knihovna v Bochovicich|4252|zakladni|public|Bochovice 11|675 05|Rudikov|Trebic|Vysocina|| ||18.00-19.00 || |2003-12-16|2003-01-23 00:00:00|Cermakova|||A|| ||k 22699/2002|
Severoceska galerie vytvarneho umeni v Litomericich, prispevkova organizace|83259|Michalska 7|412 01|Litomerice|Litomerice|Ustecky||odborne shromazdovani a spravovani malirskych, socharskych a grafickych del|||Knihovna Severoceske galerie vytvarneho umeni v Litomericich|4253|zakladni se specializovanym knihovnim fondem|kultura (galerie)|Michalska 7|412 01|Litomerice|Litomerice|Ustecky|| || ||LTE001|2003-12-16|2003-01-23 00:00:00|Cermakova|||A|| ||k 22647/2002|
Nemocnice Blansko|386634|Sadova 33|678 31|Blansko|Blansko|Jihomoravsky||poskytovani zdravotnickych sluzeb|||Lekarska knihovna Nemocnice Blansko|4254|specializovana|lekarska|Sadova 33|678 31|Blansko|Blansko|Jihomoravsky|| || ||BKE201|2003-12-16|2003-01-23 00:00:00|Cermakova|||V|2020-10-06 00:00:00|S. Polakova||"k 22652/2002;
MK 35827/2020 OULK"|Vyrazena z evidence, knihovna zrusena
Nemocnice Havlickuv Brod, prispevkova organizace|179540|Husova 2624|580 01|Havlickuv Brod|Havlickuv Brod|Vysocina||poskytovani zdravotnicke pece|||Odborna knihovna Okresni nemocnice Havlickuv Brod|4255|zakladni se specializovanym knihovnim fondem|lekarska|Husova 2624|580 01|Havlickuv Brod|Havlickuv Brod|Vysocina|| || ||HBE201|2003-12-16|2003-01-23 00:00:00|Cermakova|2003-05-06 00:00:00|Cermakova|A||||k 22743/2002|
Muzeum Vysociny Trebic, prispevkova organizace|91766|Zamek 1|674 01|Trebic|Trebic|Vysocina||uchovani, zpracovani a zpristupnovani sbirek muzejni povahy|||Knihovna Muzea Vysociny Trebic, prispevkove organizace|4256|zakladni se specializovanym knihovnim fondem|muzejni|Zamek 1|674 01|Trebic|Trebic|Vysocina|| |www.zamek-trebic/knihovna.html| || |2003-12-16|2003-01-23 00:00:00|Cermakova|2004-06-18 00:00:00|Cermakova|A||||k 22698/2002|
Narodni ustav dusevniho zdravi|23752|Topolova 748|250 67|Klecany|Praha-vychod|Stredocesky||poskytovani zdravotnicke pece v oblasti psychiatrie|||Narodni ustav dusevniho zdravi - informacni stredisko|4257|zakladni se specializovanym knihovnim fondem|lekarska|Topolova 748|250 67|Klecany|Praha-vychod|Stredocesky|| || ||ABC079|2003-12-16|2003-01-23 00:00:00|Cermakova|||A|| ||k 22705/2002|
Nemocnice Na Homolce|23884|Roentgenova 2|150 00|Praha 5|Praha|Hlavni mesto Praha||poskytovani zdravotnicke pece|||Lekarska knihovna Nemocnice Na Homolce|4258|zakladni se specializovanym knihovnim fondem|lekarska|Roentgenova 37|150 00|Praha 5|Praha|Hlavni mesto Praha||||||ABE207|2003-12-16|2003-01-23 00:00:00|Cermakova|2022-03-02 00:00:00|B. Skuckova|A||||k 22706/2002|
Janackova akademie muzickych umeni v Brne|62156462|Beethovenova 2|662 15|Brno|Brno-mesto|Jihomoravsky||vzdelavaci a vedecko-vyzkumna cinnost|||Knihovna Janackovy akademie muzickych umeni v Brne|4259|zakladni se specializovanym knihovnim fondem|VS|Novobranska 3|662 15|Brno|Brno-mesto|Jihomoravsky|| || ||BOD005|2003-12-16|2003-01-23 00:00:00|Cermakova|||A|| ||k 22645/2002|
Moravska galerie v Brne|94871|Husova 18|662 26|Brno|Brno-mesto|Jihomoravsky||odborne shromazdovani a spravovani malirskych, socharskych a grafickych del|||Knihovna Moravske galerie v Brne|4260|zakladni se specializovanym knihovnim fondem|kultura (galerie)|Husova 18|662 26|Brno|Brno-mesto|Jihomoravsky||m-gal@moravska-galerie.cz|| ||BOE303|2003-12-17|2003-01-23 00:00:00|Cermakova|||A|| ||k 22975/2002|
Moravsky zemsky archiv v Brne|70979146|Zerotinovo nam. 3/5|656 01|Brno|Brno-mesto|Jihomoravsky||odborna cinnost v oblasti archivnictvi|||Knihovna Statniho okresniho archivu v Jihlave|4261|zakladni se specializovanym knihovnim fondem|archivy (statni, oblastni,...)|Fritzova 19|586 01|Jihlava|Jihlava|Vysocina||archiv@archivjihlava.czpiskova@archivjihlava.cz|| ||BOE304|2003-12-17|2003-01-23 00:00:00|Cermakova|||A|| ||k 22674/2002|
Mestys Namest na Hane|299260|T. G. Masaryka 100|783 44|Namest na Hane|Olomouc|Olomoucky||obecni urad|||Knihovna Namest na Hane|4262|zakladni|public|Zabrani 514|783 44|Namest na Hane|Olomouc|Olomoucky|| || ||OLG506|2003-12-17|2003-01-23 00:00:00|Cermakova|||A|| ||k 22580/2002|
Obec Nemcice|250554|Nemcice 53|384 11|Netolice|Prachatice|Jihocesky||obecni urad|||Obecni verejna knihovna Nemcice|4263|zakladni|public|Nemcice 53|384 11|Netolice|Prachatice|Jihocesky|| || || |2003-12-17|2003-01-24 00:00:00|Cermakova|||A|| ||k 22649/2002|
Obec Nemcice|279277|Nemcice 107|561 18|Nemcice|Usti nad Orlici|Pardubicky||obecni urad|||Obecni knihovna Nemcice|4264|zakladni|public|Nemcice 107|561 18|Nemcice|Usti nad Orlici|Pardubicky|| || || |2003-12-17|2003-01-24 00:00:00|Cermakova|||A|| ||k 22625/2002|
Obec Nemcice|279277|Nemcice 107|561 18|Nemcice|Usti nad Orlici|Pardubicky||obecni urad|||Obecni knihovna Zhor|4265|zakladni|public|Nemcice 107|561 18|Nemcice|Usti nad Orlici|Pardubicky|| || || |2003-12-17|2003-01-24 00:00:00|Cermakova|||A|| ||k 22625/2002|
Obec Resice|636967|Resice|671 73|Tulesice|Znojmo|Jihomoravsky||obecni urad|||Mistni knihovna v Resicich|4266|zakladni|public|Resice 97|671 73|Tulesice|Znojmo|Jihomoravsky|| ||16.00-18.00 - 17.00-19.00 || |2003-12-17|2003-01-24 00:00:00|Cermakova|||A|| ||k 22640/2002|
Obec Sulislav|868965|Sulislav 59|349 74|Sulislav|Tachov|Plzensky||obecni urad|||Zakladni knihovna Sulislav|4267|zakladni|public|Sulislav 59|349 74|Sulislav|Tachov|Plzensky|| || || |2003-12-17|2003-01-24 00:00:00|Cermakova|||A|| ||k 22620/2002|
Obec Blizejov|253243|Blizejov|345 45|Blizejov|Domazlice|Plzensky||obecni urad|||Mistni knihovna Blizejov|4268|zakladni|public|Blizejov 1|345 45|Blizejov|Domazlice|Plzensky|| || || |2003-12-17|2003-01-24 00:00:00|Cermakova|||A|| ||k 22569/2002|
Obec Blizejov|253243|Blizejov|345 45|Blizejov|Domazlice|Plzensky||obecni urad|||Mistni knihovna Chotimer|4269|zakladni|public|Chotimer 48|345 45|Blizejov|Domazlice|Plzensky|| || || |2003-12-17|2003-01-24 00:00:00|Cermakova|||A|| ||k 22569/2002|
Obec Blizejov|253243|Blizejov|345 45|Blizejov|Domazlice|Plzensky||obecni urad|||Mistni knihovna Nahosice|4270|zakladni|public|Nahosice 6|345 45|Blizejov|Domazlice|Plzensky|| || || |2003-12-17|2003-01-24 00:00:00|Cermakova|||A|| ||k 22569/2002|
Obec Blizejov|253243|Blizejov|345 45|Blizejov|Domazlice|Plzensky||obecni urad|||Mistni knihovna Lsteni|4271|zakladni|public|Lsteni 1|345 45|Blizejov|Domazlice|Plzensky|| || || |2003-12-17|2003-01-24 00:00:00|Cermakova|||A|| ||k 22569/2002|
Mesto Budyne nad Ohri|263427|Mirove nam. 65|411 18|Budyne nad Ohri|Litomerice|Ustecky||mestsky urad|||Mestska knihovna Budyne nad Ohri|4272|zakladni|public|Skolska 322|411 18|Budyne nad Ohri|Litomerice|Ustecky|| || ||LTG504|2003-12-17|2003-01-24 00:00:00|Cermakova|||A|| ||k 22628/2002|
Mesto Budyne nad Ohri|263427|Mirove nam. 65|411 18|Budyne nad Ohri|Litomerice|Ustecky||mestsky urad|||Mistni knihovna Nizebohy|4273|zakladni||Nizebohy 34|411 18|Budyne nad Ohri|Litomerice|Ustecky|| || ||LTG504|2003-12-17|2003-01-24 00:00:00|Cermakova|||V|2015-11-30 00:00:00|M. Fojtik||k 22628/2002|Vyrazena z evidence, knihovna zrusena
Mesto Budyne nad Ohri|263427|Mirove nam. 65|411 18|Budyne nad Ohri|Litomerice|Ustecky||mestsky urad|||Mistni knihovna Pisty|4274|zakladni||Pisty 41|411 18|Budyne nad Ohri|Litomerice|Ustecky|| || ||LTG504|2003-12-17|2003-01-24 00:00:00|Cermakova|||V|2015-11-30 00:00:00|M. Fojtik||k 22628/2002|Vyrazena z evidence, knihovna zrusena
Mestska cast Praha-Kunratice|231134|K Libusi 7/10|148 23|Praha 4-Kunratice|Praha|Hlavni mesto Praha||urad mestske casti|||Mistni verejna knihovna v Praze - Kunraticich|4275|zakladni|public|Golcova 24|148 23|Praha 4-Kunratice|Praha|Hlavni mesto Praha|| || ||ABG005|2003-12-17|2003-01-24 00:00:00|Cermakova|||A|| ||k 22733/2002|
Sprava majetku mesta Chropyne, prispevkova organizace|47933763|Jecminkova 258|768 11|Chropyne|Kromeriz|Zlinsky||poskytovani sluzeb, provoz MK, poradani spol. a kulturnich akci|||Mestska knihovna v Chropyni|4276|zakladni|public|Jecminkova 258|768 11|Chropyne|Kromeriz|Zlinsky|| || ||KMG504|2003-12-17|2003-01-24 00:00:00|Cermakova|22.11.2007, 22.3.2022, 31.12.2023|St. Firstova|A||||k 22557/2002, 17552/2022|
Mesto Chropyne|287245|nam. Svobody 29|768 11|Chropyne|Kromeriz|Zlinsky||mestsky urad|||Detske oddeleni Mestske knihovny v Chropyni, Tyrsova ulice|4277|zakladni||Tyrsova|768 11|Chropyne|Kromeriz|Zlinsky|| || ||KMG504|2003-12-17|2003-01-24 00:00:00|Cermakova|||V|2006-12-13 00:00:00|St. Firstova||k 22557/2002|Vyrazena z evidence
Mesto Chropyne|287245|nam. Svobody 29|768 11|Chropyne|Kromeriz|Zlinsky||mestsky urad|||Mistni lidova knihovna v Plesovci|4278|zakladni||Plesovec 1|768 11|Chropyne|Kromeriz|Zlinsky|| || ||KMG504|2003-12-17|2003-01-24 00:00:00|Cermakova|||V|2006-12-13 00:00:00|M. Fojtik||k 22557/2002|Vyrazena z evidence
Mesto Rovensko pod Troskami|276073|Namesti 1|512 63|Rovensko pod Troskami|Semily|Liberecky||mestsky urad|||Mestska knihovna Rovensko pod Troskami|4279|zakladni|public|Namesti 1|512 63|Rovensko pod Troskami|Semily|Liberecky|| || ||SMG508|2003-12-17|2003-01-24 00:00:00|Cermakova|||A|| ||k 22752/2002|
Mesto Spindleruv Mlyn|278343|Svatopetrska 173|543 51|Spindleruv Mlyn|Trutnov|Kralovehradecky||mestsky urad|||Mestska knihovna Spindleruv Mlyn|4280|zakladni|public|Svatopetrska 278|543 51|Spindleruv Mlyn|Trutnov|Kralovehradecky||knihovna.spm@worldonline.cz|www.knihovnamestospindleruvmlyn.webk.cz| ||TUG508|2003-12-17|2003-01-24 00:00:00|Cermakova|||A|| ||k 22753/2002|
Spolecensky klub Chrastava|262871|Liberecka 40|463 31|Chrastava|Liberec|Liberecky||mestsky urad|||Mestska knihovna Chrastava|4281|zakladni|public|Liberecka 40|463 31|Chrastava|Liberec|Liberecky|| || ||LIG502|2003-12-17|2003-01-24 00:00:00|Cermakova|||A|| ||k 22883/2002|
Spolecensky klub Chrastava|262871|Liberecka 40|463 31|Chrastava|Liberec|Liberecky||zajistovani kulturnich hodnot a aktivit|||Mistni lidova knihovna Vitkov|4282|zakladni|public|Vitkov|463 31|Chrastava|Liberec|Liberecky|| || ||LIG502|2003-12-17|2003-01-24 00:00:00|Cermakova|||A|| ||k 22883/2002|
Obec Krasna|577022|Krasna|739 04|Prazmo|Frydek-Mistek|Moravskoslezsky||obecni urad|||Mistni knihovna Krasna - Dolni Krasna|4283|zakladni|public|Krasna 331|739 04|Prazmo|Frydek-Mistek|Moravskoslezsky|| ||16.00-18.00 (letni obd.) - 9.00-11.00 (zimni obd.) || |2003-12-17|2003-01-24 00:00:00|Cermakova|||A|| ||k 22587/2002|
Obec Krasna|577022|Krasna|739 04|Prazmo|Frydek-Mistek|Moravskoslezsky||obecni urad|||Mistni knihovna Krasna - Mohelnice|4284|zakladni|public|Krasna 287|739 04|Prazmo|Frydek-Mistek|Moravskoslezsky|| ||15.30-18.30 || |2003-12-17|2003-01-24 00:00:00|Cermakova|||A|| ||k 22587/2002|
Obec Brezsko|599981|Brezsko 12|798 52|Konice|Prostejov|Olomoucky||obecni urad|||Obecni knihovna v Brezsku|4285|zakladni|public|Brezsko 12|798 52|Konice|Prostejov|Olomoucky|| |http://www.obecbrezsko.cz/index.php?nid=6228&lid=cs&oid=1331856|17.00-19.00 || |2003-12-18|2003-01-24 00:00:00|Cermakova|||A|| ||k 22588/2002|
Obec Velesovice|292419|Velesovice|683 01|Rousinov|Vyskov|Jihomoravsky||obecni urad|||Obecni knihovna Velesovice|4286|zakladni|public|Velesovice 152|683 01|Rousinov|Vyskov|Jihomoravsky|| || || |2003-12-18|2003-01-24 00:00:00|Cermakova|||A|| ||k 22700/2002|
Obec Modrisice|275921|Modrisice 11|511 01|Turnov|Semily|Liberecky||obecni urad|||Obecni knihovna Modrisice|4287|zakladni|public|Modrisice 11|511 01|Turnov|Semily|Liberecky|| || || |2003-12-18|2003-01-24 00:00:00|Cermakova|||A|| ||k 22872/2002|
Obec Zahradky|666564|Zahradky 42|378 53|Zahradky|Jindrichuv Hradec|Jihocesky||obecni urad|||Obecni knihovna Zahradky|4288|zakladni|public|Zahradky 42|378 53|Zahradky|Jindrichuv Hradec|Jihocesky|| || || |2003-12-18|2003-01-24 00:00:00|Cermakova|||A|| ||k 22875/2002|
Obec Babylon|572551|Babylon 27|345 31|Babylon|Domazlice|Plzensky||obecni urad|||Mistni knihovna Babylon|4289|zakladni|public|Babylon 27|345 31|Babylon|Domazlice|Plzensky|| || || |2003-12-18|2003-01-24 00:00:00|Cermakova|||A|| ||k 22571/2002|
Obec Hlohovcice|572403|Hlohovcice 80|345 61|Hlohovcice|Domazlice|Plzensky||obecni urad|||Mistni knihovna Hlohovcice|4290|zakladni|public|Hlohovcice 80|345 61|Hlohovcice|Domazlice|Plzensky|| || || |2003-12-18|2003-01-24 00:00:00|Cermakova|||A|| ||k 22573/2002|
Obec Kvicovice|572357|Kvicovice 19|345 62|Kvicovice|Domazlice|Plzensky||obecni urad|||Mistni knihovna Kvicovice|4291|zakladni|public|Kvicovice 19|345 62|Kvicovice|Domazlice|Plzensky|| || || |2003-12-18|2003-01-24 00:00:00|Cermakova|||A|| ||k 22577/2002|
Mestys Kremze|245950|Namesti|382 03|Kremze|Cesky Krumlov|Jihocesky||obecni urad|||Knihovna mestyse Kremze|4292|zakladni|public|Skolni 320|382 03|Kremze|Cesky Krumlov|Jihocesky|| || ||CKG505|2003-12-18|2003-01-24 00:00:00|Cermakova|2007-12-28 00:00:00|St. Firstova|A||||k 22673/2002|
Obec Horni Stropnice|244929|Horni Stropnice 68|373 35|Horni Stropnice|Ceske Budejovice|Jihocesky||obecni urad|||Mistni knihovna Horni Stropnice|4293|zakladni|public|Horni Stropnice 68|373 35|Horni Stropnice|Ceske Budejovice|Jihocesky|| || ||CBG504|2003-12-18|2003-01-24 00:00:00|Cermakova|||A|| ||k 22671/2002|
Obec Skalka|288748|Skalka 26|798 24|Skalka|Prostejov|Olomoucky||obecni urad|||Mistni lidova knihovna Skalka|4294|zakladni|public|Skalka 26|798 24|Skalka|Prostejov|Olomoucky|| |www.skalka.knihovna.cz|17.00-19.00 || |2003-12-18|2003-01-24 00:00:00|Cermakova|||A|| ||k 22882/2002|
Obec Polevsko|525405|Polevsko 152|471 16|Polevsko|Ceska Lipa|Liberecky||obecni urad|||Mistni knihovna Polevsko|4295|zakladni|public|Polevsko 152|471 16|Polevsko|Ceska Lipa|Liberecky|| || || |2003-12-18|2003-01-24 00:00:00|Cermakova|||A|| ||k 22871/2002|
Mestys Cachrov|255319|Cachrov 55|339 01|Cachrov|Klatovy|Plzensky||obecni urad|||Mistni knihovna Cachrov|4296|zakladni|public|Cachrov 5|339 01|Cachrov|Klatovy|Plzensky|| || || |2003-12-18|2003-01-24 00:00:00|Cermakova|2008-12-12 00:00:00|St. Firstova|A||||k 22868/2002|
Obec Retova|279447|Retova|561 41|Retova|Usti nad Orlici|Pardubicky||obecni urad|||Mistni knihovna Retova|4297|zakladni|public|Retova 190|561 41|Retova|Usti nad Orlici|Pardubicky|| || || |2003-12-18|2003-01-24 00:00:00|Cermakova|||A|| ||k 22862/2002|
Obec Zelenec|241041|Kasalova 467|250 91|Zelenec|Praha-vychod|Stredocesky||obecni urad|||Obecni knihovna Zelenec|4298|zakladni|public|Csl. armady 18|250 91|Zelenec|Praha-vychod|Stredocesky|| || || |2003-12-18|2003-01-24 00:00:00|Cermakova|||A|| ||k 22859/2002|
Obec Pricina|244252|Pricina 67|270 35|Petrovice|Rakovnik|Stredocesky||obecni urad|||Obecni knihovna v Pricine|4299|zakladni|public|Pricina 67|270 35|Petrovice|Rakovnik|Stredocesky|| || || |2003-12-18|2003-01-24 00:00:00|Cermakova|||A|| ||k 22858/2002|
Obec Stare Mesto pod Landstejnem|247499|Stare Mesto pod Landstejnem 19|378 82|Stare Mesto pod Landstejnem 19|Jindrichuv Hradec|Jihocesky||obecni urad|||Obecni knihovna Stare Mesto pod Landstejnem|4300|zakladni|public|Stare Mesto pod Landstejnem 139|378 82|Stare Mesto pod Landstejnem 19|Jindrichuv Hradec|Jihocesky|| || || |2004-01-07|2003-01-24 00:00:00|Cermakova|||A|| ||k 22749/2002|
Obec Krasikov|485535|Krasikov 64|563 01|Lanskroun|Usti nad Orlici|Pardubicky||obecni urad|||Obecni knihovna Krasikov|4301|zakladni|public|Krasikov 64|563 01|Lanskroun|Usti nad Orlici|Pardubicky|| || || |2004-01-07|2003-01-24 00:00:00|Cermakova|||A|| ||k 22679/2002|
Obec Jezkovice|372480|Jezkovice 31|683 04|Drnovice|Vyskov|Jihomoravsky||obecni urad|||Mistni knihovna Jezkovice|4302|zakladni|public|Jezkovice 31|683 04|Drnovice|Vyskov|Jihomoravsky|| || || |2004-01-07|2003-01-24 00:00:00|Cermakova|||A|| ||k 22678/2002|
Obec Horka I|640344|Horka I 48|286 01|Caslav|Kutna Hora|Stredocesky||obecni urad|||Obecni knihovna Horka I|4303|zakladni|public|Horka I 59|286 01|Caslav|Kutna Hora|Stredocesky|| || || |2004-01-07|2003-01-24 00:00:00|Cermakova|||A|| ||k 22695/2002|
Obec Predklasteri|365416|Komenskeho 1109|666 02|Predklasteri|Brno-venkov|Jihomoravsky||obecni urad|||Obecni knihovna Predklasteri|4304|zakladni|public|Komenskeho 1169|666 02|Predklasteri|Brno-venkov|Jihomoravsky|| || || |2004-01-07|2003-01-24 00:00:00|Cermakova|||A|| ||k 22585/2002|
Obec Uhrice|368661|Uhrice 56|683 33|Uhrice|Vyskov|Jihomoravsky||obecni urad|||Obecni knihovna Uhrice|4305|zakladni|public|Uhrice 56|683 33|Uhrice|Vyskov|Jihomoravsky|| || || |2004-01-07|2003-01-24 00:00:00|Cermakova|||A|| ||k 22584/2002|
Obec Josefuv Dul|262391|Dolni Maxov 218|468 44|Josefuv Dul|Jablonec nad Nisou|Liberecky||obecni urad|||Obecni knihovna Josefuv Dul|4306|zakladni|public|Dolni Maxov 210|468 44|Josefuv Dul|Jablonec nad Nisou|Liberecky|| || || |2004-01-07|2003-01-24 00:00:00|Cermakova|||A|| ||k 221/2003|
Obec Slup|637017|Slup 56|671 28|Jaroslavice|Znojmo|Jihomoravsky||obecni urad|||Mistni knihovna Slup|4307|zakladni|public|Slup 83|671 28|Jaroslavice|Znojmo|Jihomoravsky|| || || |2004-01-07|2003-01-24 00:00:00|Cermakova|||A|| ||k 23059/2002|
